title,release_year,genres,runtime,director,vote_average,vote_count,popularity,budget,revenue
Jackpot,2001,"Drama, Music, Comedy",97,Michael Polish,6.6,5,1.3466,400000,43719
The Monkey's Mask,2001,"Thriller, Crime",93,Samantha Lang,4.263,40,3.7923,0,6831
Wet Hot American Summer,2001,Comedy,97,David Wain,6.3,842,3.2339,5000000,295206
Relentless,1989,"Mystery, Thriller, Horror, Crime",92,William Lustig,5.3,33,2.2123,0,6985019
Renegades,1989,"Action, Crime, Thriller",105,Jack Sholder,5.237,95,3.0834,16000000,9015164
The Return of Swamp Thing,1989,"Horror, Science Fiction",84,Jim Wynorski,5.476,255,3.4348,4000000,192816
The Return of the Musketeers,1989,"Comedy, Action, Adventure",102,Richard Lester,6.168,149,3.7249,0,0
Road House,1989,"Action, Thriller",114,Rowdy Herrington,6.746,1409,4.5657,15000000,30100000
Romero,1989,"Drama, History",105,John Duigan,7.0,38,1.6908,0,0
Rosalie Goes Shopping,1989,Comedy,94,Percy Adlon,5.7,41,1.9148,0,0
Rude Awakening,1989,Comedy,98,David Greenwalt,4.483,29,4.4941,0,3169719
Santa Sangre,1989,"Thriller, Drama, Horror",122,Alejandro Jodorowsky,7.128,479,3.292,787000,0
Scandal,1989,"Drama, History, Romance",115,Michael Caton-Jones,5.984,96,7.4383,0,8800000
Scenes from the Class Struggle in Beverly Hills,1989,Comedy,95,Paul Bartel,5.317,30,3.2528,0,0
Sea of Love,1989,"Crime, Drama, Romance",113,Harold Becker,6.6,655,3.0435,19000000,110879513
"See No Evil, Hear No Evil",1989,"Comedy, Crime",102,Arthur Hiller,6.753,1023,5.4886,18000000,46900000
She's Out of Control,1989,"Comedy, Romance",97,Stan Dragoti,5.2,116,5.2341,0,12065892
Shirley Valentine,1989,"Romance, Comedy",108,Lewis Gilbert,6.238,105,5.0845,0,0
Shocker,1989,"Horror, Thriller",111,Wes Craven,5.563,449,1.1473,5000000,16554699
Skin Deep,1989,"Romance, Comedy, Drama",97,Blake Edwards,6.1,84,2.7242,8500000,45000000
Slaves of New York,1989,Drama,124,James Ivory,5.133,15,2.5405,0,0
Some Girls,1988,"Comedy, Drama, Romance",94,Michael Hoffman,5.558,103,1.5847,0,401421
Stepfather 2,1989,"Horror, Thriller",93,Jeff Burr,5.485,112,2.3169,1500000,1519796
The Stepfather,1987,"Horror, Thriller",89,Joseph Ruben,6.538,356,3.781,1200000,2488740
Sweetie,1989,"Drama, Comedy",100,Jane Campion,6.005,107,3.3298,0,0
The Tall Guy,1989,"Comedy, Romance",92,Mel Smith,5.69,79,1.8518,0,0
Tango & Cash,1989,"Action, Thriller, Comedy, Drama, Crime",104,Andrei Konchalovsky,6.469,2042,6.8653,55000000,63408614
Tap,1989,"Drama, Music",111,Nick Castle,6.8,27,1.4343,0,9114702
Three Fugitives,1989,"Comedy, Crime",96,Francis Veber,6.638,312,1.0978,15000000,40600000
Troop Beverly Hills,1989,"Family, Adventure, Comedy",105,Jeff Kanew,5.709,179,0.9029,18000000,8500000
Turner & Hooch,1989,"Action, Comedy, Thriller, Crime, Family",97,Roger Spottiswoode,6.337,1379,1.4421,13000000,71079915
UHF,1989,Comedy,97,Jay Levey,6.667,386,1.1222,5000000,6157157
Uncle Buck,1989,"Comedy, Drama, Family",100,John Hughes,6.798,1274,5.2552,15000000,79300000
Vampire's Kiss,1989,"Comedy, Horror, Crime, Fantasy",103,Robert Bierman,5.9,463,1.9176,2000000,725131
The War of the Roses,1989,"Comedy, Drama",116,Danny DeVito,6.899,1189,5.0749,26000000,160188546
Warlock,1989,"Horror, Fantasy, Action",103,Steve Miner,6.241,421,4.9468,7000000,9094451
The Wizard,1989,"Adventure, Comedy, Drama, Family",100,Todd Holland,6.057,331,3.8429,6000000,14278900
Worth Winning,1989,"Comedy, Romance",103,Will Mackenzie,5.2,44,2.9075,0,0
Warlock: The Armageddon,1993,"Fantasy, Horror, Science Fiction, Action",98,Anthony Hickox,5.255,184,3.4201,3000000,3902679
Weekend at Bernie's II,1993,"Comedy, Crime, Adventure",97,Robert Klane,5.011,314,1.5986,7000000,12741891
Billy Liar,1963,"Comedy, Romance, Drama",98,John Schlesinger,6.811,122,7.6837,0,35609
Black Robe,1991,"Adventure, Drama, History",101,Bruce Beresford,6.468,109,5.9464,11000000,8211952
The Cat o' Nine Tails,1971,"Horror, Mystery, Thriller",112,Dario Argento,6.7,440,2.2936,1000000,1204739
The Cotton Club,1984,"Crime, Drama",130,Francis Ford Coppola,6.508,427,5.269,58000000,25928721
DEFCON-4,1985,"Science Fiction, Thriller, Action",88,Paul Donovan,4.4,54,5.7343,0,0
The Hotel New Hampshire,1984,"Comedy, Drama",110,Tony Richardson,5.6,125,0.7584,7500000,5100000
Idiot Box,1997,"Comedy, Drama, Thriller",85,David Caesar,5.0,8,2.8317,0,0
Left Luggage,1998,Drama,100,Jeroen Krabbé,6.233,30,2.2477,0,100544
Who'll Stop the Rain,1978,"Crime, Action, Drama",126,Karel Reisz,6.471,70,1.2882,0,0
"Zorro, The Gay Blade",1981,"Western, Action, Comedy, Adventure, Romance",93,Peter Medak,5.972,53,2.24,12600000,10200000
Basket Case,1982,"Horror, Comedy",91,Frank Henenlotter,6.3,448,5.5514,35000,0
Orphans,1998,"Comedy, Drama",101,Peter Mullan,6.514,37,4.102,0,49501
Original Sin,2001,"Thriller, Drama, Mystery, Romance",116,Michael Cristofer,6.1,868,5.3774,42000000,35402320
The Princess Diaries,2001,"Comedy, Family, Romance",115,Garry Marshall,6.963,5143,5.6374,37000000,165335153
Rush Hour 2,2001,"Action, Comedy, Crime",90,Brett Ratner,6.75,4390,7.2731,90000000,347325802
Thomas in Love,2000,"Drama, Comedy, Science Fiction, Romance",97,Pierre-Paul Renders,6.6,32,2.3094,0,0
Chocolat,1988,Drama,104,Claire Denis,6.857,105,0.7662,0,0
Hatari!,1962,"Adventure, Comedy, Action",157,Howard Hawks,6.744,260,4.2462,0,0
La Cage aux Folles,1978,Comedy,92,Édouard Molinaro,6.8,421,2.3282,1100000,20424259
La Cage aux Folles II,1980,Comedy,101,Édouard Molinaro,6.0,113,0.5201,0,6950125
Liebestraum,1991,"Thriller, Mystery, Romance",112,Mike Figgis,5.19,21,0.872,0,0
Marat/Sade,1967,"Music, Drama, History",116,Peter Brook,6.059,34,8.5316,0,0
Paint Your Wagon,1969,"Comedy, Western, Music",164,Joshua Logan,6.335,266,2.1858,20000000,31678778
The Shootist,1976,Western,100,Don Siegel,7.041,365,1.5979,0,13400000
Theremin: An Electronic Odyssey,1995,"Documentary, Music",83,Steven M. Martin,5.6,9,1.1983,0,253311
The Wild Child,1970,"Drama, History",83,François Truffaut,7.0,295,2.1236,0,0
Altered States,1980,"Horror, Science Fiction, Thriller",102,Ken Russell,6.731,717,3.5889,15000000,19853892
Any Which Way You Can,1980,"Action, Adventure, Comedy",115,Buddy Van Horn,5.741,351,2.137,15000000,70687344
The Awakening,1980,Horror,105,Mike Newell,5.462,80,28.613,0,8415112
Bad Timing,1980,"Mystery, Drama, Thriller",123,Nicolas Roeg,6.544,160,3.2755,0,0
The Big Brawl,1980,"Action, Comedy",95,Robert Clouse,5.864,188,3.7986,6000000,8527743
American Pie 2,2001,"Comedy, Romance",111,J.B. Rogers,6.248,5126,6.1052,30000000,287553595
Osmosis Jones,2001,"Adventure, Animation, Action, Comedy, Family",95,Peter Farrelly,6.501,1055,1.6271,75000000,13596911
The Others,2001,"Horror, Mystery, Thriller",101,Alejandro Amenábar,7.614,6904,4.4456,17000000,210002906
American Outlaws,2001,"Western, Action",94,Les Mayfield,5.978,267,6.1649,35000000,13678913
All Over the Guy,2001,"Comedy, Romance",95,Julie Davis,5.703,74,0.3747,0,1051948
The Deep End,2001,"Mystery, Thriller, Crime, Drama",101,David Siegel,6.174,152,3.0342,3000000,10031529
On the Edge,2001,"Drama, Romance",85,John Carney,6.7,54,1.9669,7000000,0
Session 9,2001,"Horror, Mystery, Drama",100,Brad Anderson,6.142,970,3.0007,1500000,1612259
The Turandot Project,2000,Documentary,87,Allan Miller,6.7,3,2.3075,0,0
Captain Corelli's Mandolin,2001,"Drama, Romance, War",131,John Madden,6.0,551,3.2235,57000000,62112895
Rat Race,2001,"Adventure, Comedy",112,Jerry Zucker,6.273,1888,3.8797,48000000,85498534
Aberdeen,2000,"Drama, Comedy",113,Hans Petter Moland,6.347,36,3.0173,0,0
Innocence,2000,,94,Paul Cox,5.769,13,3.9231,0,0
Bubble Boy,2001,"Comedy, Adventure, Romance",84,Blair Hayes,5.7,608,5.0974,0,5007209
The Curse of the Jade Scorpion,2001,"Comedy, Crime, Romance",103,Woody Allen,6.592,809,1.51,33000000,18914307
Jay and Silent Bob Strike Back,2001,"Comedy, Adventure",104,Kevin Smith,6.4,1659,3.8659,22000000,33788161
Ghosts of Mars,2001,"Action, Horror, Science Fiction",98,John Carpenter,5.15,1173,2.9552,28000000,14010832
Summer Catch,2001,"Comedy, Romance",104,Michael Tollin,5.417,209,2.2742,34000000,19693891
An American Rhapsody,2001,"Drama, Family",106,Éva Gárdos,6.3,79,1.5014,0,970676
Happy Accidents,2000,"Comedy, Romance, Science Fiction",110,Brad Anderson,6.8,136,2.3878,0,688510
Lisa Picard Is Famous,2000,"Comedy, Drama",90,Griffin Dunne,4.667,9,0.8846,0,112521
Maybe Baby,2000,"Comedy, Romance",104,Ben Elton,5.373,102,5.4168,0,0
Together,2000,"Drama, Comedy, Romance",106,Lukas Moodysson,6.996,256,4.299,0,0
Punks,2000,"Comedy, Romance",105,Patrik-Ian Polk,4.5,8,0.9739,0,0
Tortilla Soup,2001,"Comedy, Drama, Romance",103,María Ripoll,6.3,50,4.699,0,4574762
Jeepers Creepers,2001,Horror,90,Victor Salva,6.475,3162,3.9715,10000000,59217789
O,2001,"Drama, Romance, Thriller",95,Tim Blake Nelson,5.9,298,1.1337,0,16017403
Waking Up in Reno,2002,"Comedy, Romance",91,Jordan Brady,4.9,101,2.1729,0,261603
Speedway Junky,1999,"Romance, Drama, Crime",104,Nickolas Perry,5.161,28,2.5313,1000000,0
3 Ninjas,1992,"Family, Action, Adventure, Comedy",96,Jon Turteltaub,5.7,453,5.2461,6500000,29000301
3 Ninjas Kick Back,1994,"Family, Adventure, Action, Comedy",93,Charles T. Kanganis,5.6,303,3.4873,20000000,11798854
3 Ninjas Knuckle Up,1995,"Family, Adventure, Action, Comedy",85,Shin Sang-ok,5.027,201,2.0272,0,413479
The Hunter,1980,"Thriller, Action, Comedy",93,Buzz Kulik,5.9,144,4.901,0,0
Maniac,1980,Horror,88,William Lustig,6.42,470,4.3034,350000,10000000
Vamp,1986,"Comedy, Horror",93,Richard Wenk,5.8,176,1.5393,3300000,4941117
The Wicker Man,1973,Horror,93,Robin Hardy,7.342,1543,3.9046,810000,885371
Wish Upon a Star,1996,"TV Movie, Family, Comedy, Fantasy",89,Blair Treu,6.487,187,1.4443,0,0
The Musketeer,2001,"Adventure, Action, Romance",104,Peter Hyams,5.224,234,4.1662,40000000,27053815
Rock Star,2001,"Music, Drama, Comedy",105,Stephen Herek,6.728,787,4.3515,57000000,19334145
Soul Survivors,2001,"Horror, Mystery, Thriller",84,Stephen Carpenter,4.457,186,6.7297,17000000,4299141
Two Can Play That Game,2001,"Comedy, Romance",90,Mark Brown,6.411,89,3.6517,13000000,22391450
Bounce: Behind The Velvet Rope,2001,Documentary,71,Steven Cantor,5.2,4,2.3687,0,0
Diamond Men,2000,"Drama, Thriller, Mystery",100,Dan Cohen,5.815,27,2.3817,0,0
Djomeh,2000,Drama,94,Hassan Yektapanah,6.4,7,0.1505,0,0
The Iron Ladies,2000,Comedy,104,Yongyoot Thongkongtoon,4.96,25,1.9541,0,0
Kill Me Later,2001,"Drama, Thriller, Crime, Romance",89,Dana Lustig,5.379,29,2.5409,0,0
L.I.E.,2001,"Drama, Crime",97,Michael Cuesta,6.771,133,3.3121,700000,1667192
Our Lady of the Assassins,2000,"Crime, Drama, Romance",101,Barbet Schroeder,7.231,193,0.4959,0,0
Abbott and Costello Meet the Mummy,1955,"Adventure, Horror, Comedy, Fantasy",79,Charles Lamont,6.0,116,1.5539,0,0
"Dr. Mabuse, the Gambler",1922,"Crime, Thriller",271,Fritz Lang,7.641,205,1.7766,0,0
Into the Arms of Strangers: Stories of the Kindertransport,2000,"Documentary, History, War",122,Mark Jonathan Harris,7.4,32,2.588,0,0
The Glass House,2001,"Drama, Thriller",107,Daniel Sackheim,5.96,1051,3.6402,30000000,23619609
Hardball,2001,Drama,106,Brian Robbins,6.5,523,3.6958,32000000,40222729
Dinner Rush,2000,"Drama, Action, Thriller",99,Bob Giraldi,7.1,78,1.7708,2000000,1075504
Haiku Tunnel,2001,Comedy,88,Jacob Kornbluth,6.4,9,0.0937,0,251058
Big Trouble,2002,"Action, Comedy, Thriller, Mystery, Crime",85,Barry Sonnenfeld,6.1,309,3.1,40000000,8493890
Glitter,2001,"Drama, Music, Romance",104,Vondie Curtis-Hall,4.3,158,2.2786,22000000,5271666
Training Day,2001,"Action, Crime, Drama",122,Antoine Fuqua,7.5,6313,10.3944,45000000,104900000
The American Astronaut,2001,"Action, Comedy, Science Fiction, Music",91,Cory McAbee,6.7,53,0.1835,0,0
Children Underground,2001,Documentary,104,Edet Belzberg,7.4,37,2.3385,0,0
Go Tigers!,2001,Documentary,103,Kenneth A. Carlson,5.0,6,0.0468,0,0
Liam,2001,Drama,90,Stephen Frears,6.122,37,0.6084,0,0
Megiddo: The Omega Code 2,2001,"Action, Thriller, Horror, Fantasy",104,Brian Trenchard-Smith,4.476,41,3.0486,22000000,6047691
Sidewalks of New York,2001,"Comedy, Drama, Romance",107,Edward Burns,6.007,72,3.0922,1000000,2402459
The Endurance,2000,"Documentary, History",97,George Butler,6.9,40,0.5201,0,2452566
The French Lieutenant's Woman,1981,"Drama, Romance, History",124,Karel Reisz,6.422,231,4.2704,0,2689068
The Great Silence,1968,"Western, Drama",106,Sergio Corbucci,7.5,435,3.7804,0,53074
The Legend of Hell House,1973,"Horror, Mystery",95,John Hough,6.629,268,1.5299,0,0
Little Man Tate,1991,"Drama, Family",99,Jodie Foster,6.548,325,5.2975,10000000,25010896
Moscow Does Not Believe in Tears,1980,"Drama, Comedy, Romance",142,Vladimir Menshov,7.6,261,2.5469,900000,2500000
Phantom of the Paradise,1974,"Music, Comedy, Horror",92,Brian De Palma,7.473,716,2.5855,1300000,250000
The Return of a Man Called Horse,1976,"Western, Adventure",129,Irvin Kershner,5.7,56,1.5425,0,0
Valdez Is Coming,1971,Western,91,Edwin Sherin,6.2,84,1.5049,0,0
13 Ghosts,1960,Horror,85,William Castle,5.7,159,3.4571,0,0
Montenegro,1981,"Comedy, Drama, Romance",96,Dušan Makavejev,6.0,24,5.1457,0,0
Opera,1987,"Horror, Thriller, Mystery",107,Dario Argento,6.76,509,3.0046,8000000,0
Father Goose,1964,"Adventure, Comedy, Romance",118,Ralph Nelson,7.021,189,5.6453,0,12500000
The Grass Is Greener,1960,"Comedy, Romance",104,Stanley Donen,6.3,133,3.4696,0,6000000
A Hole in the Head,1959,"Comedy, Drama",120,Frank Capra,6.135,48,1.9802,0,0
Indiscreet,1958,"Comedy, Romance",100,Stanley Donen,6.571,189,7.7845,0,0
"It's a Mad, Mad, Mad, Mad World",1963,"Action, Adventure, Comedy, Crime",160,Stanley Kramer,7.0,644,3.3531,9400000,60000000
King Solomon's Mines,1937,"Action, Adventure, Drama",80,Robert Stevenson,5.269,26,0.4017,0,0
The Little Foxes,1941,"Drama, Romance, History",117,William Wyler,7.535,186,4.7849,0,0
Operation Petticoat,1959,"Comedy, War, Romance",124,Blake Edwards,7.2,393,2.7239,0,6800000
Play Misty for Me,1971,"Drama, Thriller",102,Clint Eastwood,6.586,538,1.26,725000,10600000
Pocketful of Miracles,1961,"Comedy, Drama",136,Frank Capra,7.3,174,2.5,2900000,5000000
Sayonara,1957,"Drama, Romance",147,Joshua Logan,6.68,139,2.8159,0,0
The Shop on Main Street,1965,"Drama, War",128,Ján Kadár,7.1,218,4.8652,0,1450000
Spring Break,1983,"Comedy, Romance",102,Sean S. Cunningham,4.8,77,2.974,0,24071666
The Vanishing,1993,"Thriller, Drama, Mystery, Horror",109,George Sluizer,6.123,532,1.775,0,14543394
Silkwood,1983,"Drama, Thriller",131,Mike Nichols,6.932,337,3.0209,10000000,35616970
I Never Promised You a Rose Garden,1977,Drama,96,Anthony Page,5.838,40,7.7807,3000000,0
Quadrophenia,1979,"Drama, Music",120,Franc Roddam,7.0,275,2.3449,0,0
SpaceCamp,1986,"Family, Adventure, Science Fiction",107,Harry Winer,5.9,196,6.2333,18000000,9697739
When Worlds Collide,1951,Science Fiction,83,Rudolph Maté,6.3,193,0.7882,936000,1600000
Don't Say a Word,2001,"Thriller, Mystery",113,Gary Fleder,6.256,997,4.7834,50000000,100020092
Hearts in Atlantis,2001,Drama,101,Scott Hicks,6.752,591,2.3357,31000000,24185781
Zoolander,2001,Comedy,89,Ben Stiller,6.208,4702,5.9899,28000000,60780981
Born Romantic,2000,"Comedy, Romance",96,David Kane,5.931,29,3.7924,0,0
Extreme Days,2001,"Action, Adventure, Comedy, Romance",93,Eric Hannah,5.0,16,3.4414,0,1
Va Savoir (Who Knows?),2001,"Drama, Comedy, Romance",154,Jacques Rivette,6.3,30,1.9019,0,0
Won't Anybody Listen,2001,"Music, Documentary",73,Dov Kelemer,8.0,2,3.1713,0,0
Joy Ride,2001,"Mystery, Thriller, Drama",97,John Dahl,6.5,1276,2.352,23000000,36642838
Max Keeble's Big Move,2001,"Comedy, Family",86,Tim Hill,5.8,160,2.3973,25000000,18634654
Serendipity,2001,"Comedy, Romance",90,Peter Chelsom,6.951,2038,7.6996,28000000,77516304
Grateful Dawg,2000,"Documentary, Music",81,Gillian Grisman,5.7,6,3.9643,0,0
La Ciénaga,2001,Drama,101,Lucrecia Martel,6.885,140,0.9244,0,103215
The Big Red One,1980,"Drama, War",113,Samuel Fuller,6.7,326,4.279,4500000,7206220
The Boogey Man,1980,Horror,82,Ulli Lommel,4.9,119,1.384,300000,0
The Party,1980,"Drama, Romance, Comedy",110,Claude Pinoteau,6.605,1180,1.9419,0,0
Lady in a Cage,1964,"Drama, Mystery, Thriller, Horror",94,Walter Grauman,6.115,74,1.5189,0,0
Brubaker,1980,"Crime, Drama",125,Stuart Rosenberg,7.1,501,5.4748,9000000,37121708
Can't Stop the Music,1980,"Comedy, Music",124,Nancy Walker,5.0,68,2.7316,0,0
Carny,1980,Drama,107,Robert Kaylor,6.171,41,7.3152,0,0
The Changeling,1980,Horror,105,Peter Medak,7.0,691,3.8392,7600000,12000000
Cheech & Chong's Next Movie,1980,"Action, Adventure, Comedy",99,Tommy Chong,5.975,256,1.6027,0,41675194
Coal Miner's Daughter,1980,"Music, Drama",125,Michael Apted,7.228,270,1.7158,15000000,67182787
The Competition,1980,"Drama, Romance, Music",123,Joel Oliansky,5.975,20,4.335,0,0
Cruising,1980,"Crime, Mystery, Thriller",102,William Friedkin,6.6,592,3.5723,11000000,19814523
D.O.A.,1980,"Documentary, Music, History",95,Lech Kowalski,5.575,20,0.7544,0,0
Death Ship,1980,"Horror, Mystery, Thriller",91,Alvin Rakoff,5.2,152,5.4852,0,0
The Last Metro,1980,"Drama, Romance, War",131,François Truffaut,7.2,507,1.8788,0,0
Divine Madness,1980,"Documentary, Comedy, Music",95,Michael Ritchie,6.2,16,1.351,0,5318098
The Dogs of War,1980,"Thriller, Action, Adventure",118,John Irvin,5.7,153,5.1556,8000000,5484132
The Learning Curve,2001,"Crime, Drama, Thriller",113,Eric Schwab,4.286,7,2.6891,1000000,0
Bandits,2001,"Comedy, Crime",123,Barry Levinson,6.303,1055,5.716,75000000,67631903
Corky Romano,2001,"Action, Comedy, Crime",86,Rob Pritts,4.3,169,4.1358,11000000,23978402
Iron Monkey,1993,"Action, Crime, Drama",90,Yuen Woo-Ping,7.431,318,2.5538,11000000,14694904
Fat Girl,2001,Drama,86,Catherine Breillat,6.164,241,2.0948,0,766000
Mulholland Drive,2001,"Thriller, Drama, Mystery",147,David Lynch,7.804,6737,7.6493,15000000,20289986
My First Mister,2001,"Comedy, Drama, Romance",109,Christine Lahti,6.5,65,4.0585,5250000,595005
Spriggan,1998,"Action, Animation, Science Fiction",90,Hirotsugu Kawasaki,6.068,103,2.4254,0,25824
Things Behind the Sun,2001,"Drama, Music",120,Allison Anders,5.857,21,2.3066,0,0
Bones,2001,"Horror, Thriller, Crime",96,Ernest R. Dickerson,4.8,162,1.8663,10000000,7316658
Brannigan,1975,"Action, Crime, Drama, Thriller, Comedy",111,Douglas Hickox,6.0,107,4.7736,0,0
Clambake,1967,"Comedy, Music, Romance",99,Arthur H. Nadel,5.9,41,3.3931,0,0
Dirty Harry,1971,"Action, Crime, Thriller",102,Don Siegel,7.451,2616,7.0521,4000000,35976000
Destiny in Space,1994,Documentary,39,Ben Burtt,7.2,6,1.6492,0,0
Fiddler on the Roof,1971,"Drama, Romance",181,Norman Jewison,7.7,607,4.0166,9000000,83304330
Hail Columbia!,1982,Documentary,37,Graeme Ferguson,7.3,3,2.4312,0,0
Kansas,1988,"Drama, Thriller, Crime, Romance",110,David Stevens,5.2,21,2.3981,0,2432237
Making the Grade,1984,Comedy,105,Dorian Walker,4.9,25,2.3504,0,4561346
Mission to Mir,1997,Documentary,40,Ivan Galin,6.5,4,4.189,0,0
Not Without My Daughter,1991,"Drama, Thriller",116,Brian Gilbert,6.7,313,3.4227,0,14789113
Female Trouble,1974,"Comedy, Crime",98,John Waters,6.9,209,1.6123,25000,9118
Titanica,1992,Documentary,95,Stephen Low,5.9,9,1.048,0,0
From Hell,2001,"Horror, Mystery, Thriller",122,Albert Hughes,6.69,2929,4.0016,35000000,74558115
The Last Castle,2001,"Action, Drama, Thriller",131,Rod Lurie,7.2,1353,2.8664,72000000,27642707
Riding in Cars with Boys,2001,"Comedy, Drama, Romance",132,Penny Marshall,6.726,460,1.1728,48000000,35700000
Bangkok Dangerous,2000,"Thriller, Action, Crime, Drama",105,Oxide Pang Chun,5.713,75,2.1161,0,0
Burnt Money,2000,"Romance, Crime",125,Marcelo Piñeyro,6.7,98,9.5412,0,0
Dancing at the Blue Iguana,2001,"Drama, Mystery",123,Michael Radford,5.411,56,0.9859,0,0
Focus,2001,Drama,106,Neal Slavin,6.283,30,2.2756,0,645418
Intimacy,2001,"Romance, Drama, Fantasy",119,Patrice Chéreau,6.2,540,5.5266,0,2672527
Waking Life,2001,"Animation, Drama, Fantasy",101,Richard Linklater,7.473,911,3.9009,2000000,3176880
K-PAX,2001,"Science Fiction, Drama, Mystery",120,Iain Softley,7.213,2594,5.7045,48000000,50315140
On the Line,2001,"Comedy, Family, Romance",81,Eric Bross,4.8,42,2.3212,16000000,4500000
Thir13en Ghosts,2001,"Horror, Thriller",91,Steve Beck,6.297,2279,6.3196,42000000,68467960
Better Than Sex,2000,"Romance, Drama, Comedy",84,Jonathan Teplitzky,5.842,36,0.766,0,0
Donnie Darko,2001,"Fantasy, Drama, Mystery",114,Richard Kelly,7.766,13003,6.3243,4500000,7500000
High Heels and Low Lifes,2001,"Action, Crime, Comedy",86,Mel Smith,6.1,66,0.8207,0,0
Life as a House,2001,Drama,125,Irwin Winkler,7.078,432,4.875,18000000,23903791
The Man Who Wasn't There,2001,"Crime, Drama",116,Joel Coen,7.516,1678,1.5605,20000000,18918721
Ouch,2000,Comedy,103,Sophie Fillières,5.3,6,2.8118,0,0
The Town Is Quiet,2000,Drama,133,Robert Guédiguian,6.3,25,2.9857,0,0
Trembling Before G-d,2001,Documentary,94,Sandi Simcha Dubowski,5.167,15,0.4006,0,0
Domestic Disturbance,2001,"Thriller, Crime, Mystery",89,Harold Becker,5.8,453,8.1692,75000000,54300000
"Monsters, Inc.",2001,"Animation, Comedy, Family",92,Pete Docter,7.847,19240,15.9707,115000000,579700000
The One,2001,"Action, Science Fiction, Thriller",87,James Wong,6.1,1660,5.037,49000000,72689126
Tape,2001,Drama,87,Richard Linklater,6.8,231,0.5926,100000,490475
Heist,2001,"Action, Crime, Drama, Thriller",107,David Mamet,6.31,585,2.424,35000000,28500000
Shallow Hal,2001,"Comedy, Romance, Fantasy, Drama",114,Peter Farrelly,6.163,3030,3.6187,40000000,141069860
King of the Jungle,2000,"Drama, Thriller",87,Seth Zvi Rosenfeld,4.571,7,3.1311,0,27
Maze,2001,"Drama, Comedy, Romance",97,Rob Morrow,5.583,12,2.1926,0,0
When a Stranger Calls,1979,"Horror, Thriller",97,Fred Walton,6.19,289,4.8431,1500000,25000000
Timerider: The Adventure of Lyle Swann,1982,"Science Fiction, Western",94,William Dear,5.236,55,2.9877,0,0
The Wash,2001,"Action, Comedy",97,DJ Pooh,5.4,124,4.5058,7000000,10229331
Harry Potter and the Philosopher's Stone,2001,"Adventure, Fantasy",152,Chris Columbus,7.9,28813,24.4679,125000000,976475550
The Fluffer,2001,Drama,95,Richard Glatzer,5.75,42,6.1139,0,0
Novocaine,2001,"Comedy, Crime, Thriller",95,David Atkins,6.0,154,6.4322,6000000,2025238
Black Knight,2001,"Comedy, Fantasy, Adventure",95,Gil Junger,5.347,1151,10.2663,50000000,33422806
Out Cold,2001,Comedy,89,Brendan Malloy,5.8,179,2.9664,24000000,14782676
Spy Game,2001,"Action, Crime, Thriller",126,Tony Scott,6.906,2239,4.9457,115000000,143049560
The Devil's Backbone,2001,"Fantasy, Drama, Horror, Thriller",108,Guillermo del Toro,7.287,1299,3.9785,4500000,6582065
In the Bedroom,2001,"Drama, Thriller",131,Todd Field,6.9,386,5.7924,1700000,44800000
The Way We Laughed,1998,Drama,124,Gianni Amelio,6.9,40,8.1079,0,0
Hell Up In Harlem,1973,"Action, Thriller, Crime, Drama",95,Larry Cohen,5.456,45,1.0668,0,0
Bucktown,1975,"Action, Crime, Drama",94,Arthur Marks,5.448,29,4.3643,0,0
Across 110th Street,1972,"Action, Crime, Drama, Thriller",102,Barry Shear,6.746,122,3.2472,0,0
Le petit soldat,1963,"Drama, Romance",87,Jean-Luc Godard,6.9,177,1.1033,180000,0
The Incredible Shrinking Woman,1981,"Comedy, Family, Science Fiction",88,Joel Schumacher,5.358,113,1.7601,0,0
Katie Tippel,1975,"Drama, History",102,Paul Verhoeven,6.358,53,7.0652,0,0
Jabberwocky,1977,"Fantasy, Comedy",105,Terry Gilliam,6.012,303,2.4661,500000,490000
Funny Girl,1968,"Comedy, Drama, Romance",155,William Wyler,7.2,411,4.1691,14100000,58707416
Circus of Horrors,1960,"Horror, Crime",88,Sidney Hayers,5.8,76,2.681,0,0
Breathless,1960,"Drama, Crime",90,Jean-Luc Godard,7.502,1931,2.7249,0,0
The Beastmaster,1982,"Fantasy, Adventure, Action",118,Don Coscarelli,6.3,434,1.5136,8000000,14056528
Midway,1976,"Action, Drama, History, War",132,Jack Smight,6.62,308,5.5113,4000000,100000000
MacArthur,1977,"Drama, History, War",130,Joseph Sargent,6.265,86,7.4177,9000000,16300000
The Young Lions,1958,"War, Drama, Action",167,Edward Dmytryk,6.8,139,2.4078,3000000,0
Subway,1985,"Action, Thriller",102,Luc Besson,6.506,491,2.0017,2000000,0
"Now, Voyager",1942,"Romance, Drama",117,Irving Rapper,7.366,220,6.0146,877000,4177000
Little Women,1933,"Drama, Family",115,George Cukor,6.8,144,0.765,424000,2100000
Halls of Montezuma,1951,"Adventure, Drama, Action, War",113,Lewis Milestone,5.923,39,2.1376,0,0
Guadalcanal Diary,1943,"Action, War, Drama",93,Lewis Seiler,5.6,19,2.4026,0,0
Anzio,1968,"War, Action, Drama",117,Edward Dmytryk,5.6,70,1.8846,0,0
The Cheap Detective,1978,"Comedy, Crime, Mystery",92,Robert Moore,6.293,92,3.9558,0,0
